Author_clean,nb_downl,nb_pages,Students,nb_works,h_index,nb_cit,vn_award,clark,nobel,top10_shangai_yn,usa_yn,descri_len,len_work
Bruce A. Blonigen,602,854,3.0,144,24,2411,0,0,0,0,1,12.0,6.0
Magnus Johannesson,600,1686,8.0,185,33,3687,0,0,0,0,0,10.0,9.0
Bruno R,599,1275,7.0,166,21,2060,0,0,0,0,0,14.0,8.0
John Whalley,594,2946,4.5,432,23,3263,0,0,0,0,0,11.0,7.0
Ping Wang Department,588,1986,7.0,250,18,1370,0,0,0,0,1,14.0,8.0
Sanjeev Goyal,587,1114,3.5,131,22,1893,0,0,0,0,0,11.0,9.0
Rodolfo M. Nayga,586,2993,1.0,383,17,1214,0,0,0,0,1,15.0,8.0
John Geweke,585,1086,15.0,124,33,3177,0,0,0,0,0,13.0,9.0
Hooi Hooi,579,1365,1.0,140,19,1563,0,0,0,0,0,9.0,10.0
Stephen Coate,579,1111,6.0,122,30,4338,0,0,0,0,1,11.0,9.0
Roger E. A.,579,1012,4.5,213,23,2408,0,0,0,0,0,24.0,5.0
John Bound,576,944,1.5,126,30,4757,0,0,0,0,1,11.0,7.0
Timothy J. Kehoe,575,1524,69.0,216,30,3290,0,0,0,0,1,12.0,7.0
Jesus Crespo,575,1305,3.0,196,18,1194,0,0,0,0,0,13.0,7.0
John Cawley,574,916,0.5,143,23,2108,0,0,0,0,1,18.0,6.0
Christoph M. Schmidt,566,1729,16.5,406,19,1566,0,0,0,0,0,10.0,4.0
Jaime A.P. de,566,1899,1.5,408,20,1526,0,0,0,0,0,17.0,5.0
Xavier Gabaix,564,1200,2.5,143,34,5190,0,0,0,1,1,10.0,8.0
Erik Teodoor,558,2009,2.5,258,20,1482,0,0,0,0,0,16.0,8.0
Charles W. Calomiris,557,1591,1.0,188,28,2892,0,0,0,0,0,3.0,8.0
David Martimort,557,2348,3.0,335,23,1943,0,0,0,0,0,8.0,7.0
Monica Billio,555,843,5.0,171,15,1108,0,0,0,0,0,11.0,5.0
